epoch,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_macro_sensitivity,val_macro_sensitivity,test_macro_sensitivity,train_macro_specificity,val_macro_specificity,test_macro_specificity
1,1.0981357430422818,1.0982583661617793,1.098075414605246,0.40186915887850466,0.3888888888888889,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
100,0.5856210010280353,0.5862697528947131,0.5659070926239025,0.7102803738317757,0.7222222222222222,0.7428571428571429,0.6511627906976744,0.6666666666666666,0.6666666666666666,0.8396990740740741,0.8484848484848485,0.8585231193926847
200,0.06273586816030018,0.05091691357629248,0.11966515507071457,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
300,0.02987904602078473,0.020829291177092486,0.0962710516972675,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
400,0.019219274695372088,0.011806975066494642,0.09361289903974374,1.0,1.0,0.9428571428571428,1.0,1.0,0.9523809523809524,1.0,1.0,0.9743589743589745
500,0.013916036193056475,0.007820691297769654,0.0950057325768825,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
600,0.010761142968639297,0.0056263122647369195,0.09736370506865469,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
700,0.008709391387448698,0.004333972347768783,0.10055797806636255,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
800,0.007263866977935622,0.003451308698959595,0.10299206376884885,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
900,0.006199275273116938,0.002829417700777339,0.10598205086539758,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
1000,0.0053900429293492575,0.002383404893058336,0.10806798940557058,1.0,1.0,0.9714285714285714,1.0,1.0,0.9761904761904763,1.0,1.0,0.9871794871794872
